"Invoice/Item Number","Date","Store Number","Store Name","Address","City","Zip Code","Store Location","County Number","County","Category","Category Name","Vendor Number","Vendor Name","Item Number","Item Description","Pack","Bottle Volume (ml)","State Bottle Cost","State Bottle Retail","Bottles Sold","Sale (Dollars)","Volume Sold (Liters)","Volume Sold (Gallons)","Iowa ZIP Code Tabulation Areas","Iowa Watershed Sub-Basins (HUC 08)","Iowa Watersheds (HUC 10)","County Boundaries of Iowa","US Counties"
"INV-09573100001","01/03/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1011200,"Straight Bourbon Whiskies",65,"Jim Beam Brands",19068,"Jim Beam",6,1750,20.99,31.49,3,0,5.25,1.38,511,18,244,35,176
"INV-09599100074","01/04/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1022100,"Mixto Tequila",395,"PROXIMO",89197,"Jose Cuervo Especial Reposado Tequila",12,1000,13,19.5,12,234,12,3.17,511,18,244,35,176
"INV-09599100013","01/04/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1011200,"Straight Bourbon Whiskies",65,"Jim Beam Brands",19477,"Maker's Mark",12,1000,22.04,33.06,12,396.72,12,3.17,511,18,244,35,176
"INV-09599100004","01/04/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1071100,"Cocktails /RTD",55,"SAZERAC NORTH AMERICA",57051,"Barton Long Island Iced Tea",12,1000,4.1,6.15,24,147.6,24,6.34,511,18,244,35,176
"INV-09599100006","01/04/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1012100,"Canadian Whiskies",260,"DIAGEO AMERICAS",11297,"Crown Royal Canadian Whisky",12,1000,18.89,28.34,24,680.16,24,6.34,511,18,244,35,176
"INV-09599100054","01/04/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1082000,"Imported Cordials & Liqueurs",192,"Mast-Jagermeister US, Inc",65257,"Jagermeister Liqueur",12,1000,15.96,23.94,48,1118.88,48,12.68,511,18,244,35,176
"INV-09599100080","01/04/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1081200,"Cream Liqueurs",434,"LUXCO INC",80130,"Ezra Brooks Bourbon Cream",12,750,8.5,12.75,12,144,9,2.38,511,18,244,35,176
"INV-09599100067","01/04/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1081400,"American Schnapps",65,"Jim Beam Brands",82637,"Dekuyper Grape Pucker",12,1000,7.87,11.81,12,141.72,12,3.17,511,18,244,35,176
"INV-09599100002","01/04/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1012100,"Canadian Whiskies",65,"Jim Beam Brands",10627,"Canadian Club Whisky",12,1000,9.71,14.57,12,174.84,12,3.17,511,18,244,35,176
"INV-09599100085","01/04/2018",2106,"Hillstreet News and Tobacco","2217 College","Cedar Falls",50613,"POINT (-92.455796 42.517182)",7,"BLACK HAWK",1081300,"American Cordials & Liqueur",962,"DUGGANS DISTILLERS",80159,"Forbidden Secret White Chocolate",6,750,10,15,2,30,1.5,0.4,511,18,244,35,176
